Assasination classroom;Yusei;Matsui;2016;Animation, Action, Aventure;Japon;Anime;images/anime/assasination_class.png
Demon Slayer;Yusei;Matsui;2019;Animation, Action, Aventure;Japon;Anime;images/anime/demon_slayer.png
Nanatsu no Taizai;Nakaba;Suzuki;2014;Animation, Action, Aventure;Japon;Anime;images/anime/nanatsu_no_taizai.png
Naruto;Masashi;Kishimoto;2002;Animation, Action, Aventure;Japon;Anime;images/anime/naruto.png
Naruto Shippuden;Masashi;Kishimoto;2007;Animation, Action, Aventure;Japon;Anime;images/anime/naruto_shippuden.png
One Piece;Eiichiro;Oda;1999;Animation, Aventure;Japon;Anime;images/anime/one_piece.png
Tonari no totoro;Hayao;Miyazaki;1988;Animation, Fantaisie;Japon;Anime;images/anime/totoro.png
Shingeki no Kyojin;Hajime;Isayama;2013;Animation, Action, Fantaisie;Japon;Anime;images/anime/shingeki_no_kyojin.png
Babylon;Mado;Nozaki;2023;Drame, Thriller;Etats-Unis;Film;images/films/babylon.png
Black Adam;Jaume;Collet-Serra;2022;Action, Aventure, Super-héros;Etats-Unis;Film;images/films/black_adam.png
Don't Worry Darling;Olivia;Wilde;2022;Drame, Thriller;Etats-Unis;Film;images/films/darling.png
The Pursuit of Happiness;Gabriele;Muccino;2006;Drame;Etats-Unis;Film;images/films/happiness_pursuit.png
Jumeaux mais pas trop;Olivier;Ducray;2022;Comédie;Etats-Unis;Film;images/films/jumeaux.png
The Karate Kid;John G.;Avildsen;1984;Action, Drame, Sport;Etats-Unis;Film;images/films/karate_kid.png
Dernier train pour Busan;Sang-ho;Yeon;2016;Action, Horreur, Thriller;Corée du Sud;Film;images/films/last_train.png
Marinette;Virginie;Verrier;2023;Animation, Action, Aventure;France;Film;images/films/marinette.png
Black Mirror;Charlie;Brooker;2011;Drame, Science-fiction, Thriller;Royaume-Uni;Série;images/series/black_mirror.png
Blood & Water;Nosipho;Dumisa;2020;Drame, Mystère, Thriller;Afrique du Sud;Série;images/series/blood_water.png
Breaking Bad;Vince;Gilligan;2008;Drame, Crime, Thriller;États-Unis;Série;images/series/breaking_bad.png
Crash Landing into You;Jeong-hyo ;Lee;2019;Comédie romantique, Drame, Kdrama;Corée du Sud;Série;images/series/crash_land.png
Game of Thrones;George R.R.;Martin;2011;Drame, Fantastique, Aventure;États-Unis;Série;images/series/game_of_throne.png
Itaewon Class;Gwang-jin;Jo;2020;Drame, Romance, Kdrama;Corée du Sud;Série;images/series/itaewon_class.png
Peaky Blinders;Steven;Knight;2013;Drame, Crime, Historique;Royaume-Uni;Série;images/series/peaky_blinders.png
13 Reasons Why;Brian;Yorkey;2017;Drame, Mystère;États-Unis;Série;images/series/thirtheen_reasons.png
